ID,Street Name
1,Colwyn Drive
2,Atherton Road
3,Wetheral Close
4,Oak Avenue
5,Long Lane
6,Carlton Grove
7,Hawthorn Avenue
8,Conway Road
9,Wellfield Road
10,Briar Close
11,Cinnamon Avenue
12,Swan Lane
13,Leigh Road
14,Thomas Street
15,Tavistock Road
16,Stuart Avenue
17,Ludlow Avenue
18,Tintagel Road
19,Dorstone Close
20,Kenilworth Drive
21,Taylor Road
22,Baldrine Drive
23,Ashfield Avenue
24,Ashley Road
25,Longhurst Road
26,Woodland Avenue
27,Severn Drive
28,Crossdale Road
29,Carr Common Road
30,Carville Grove
31,Grenaby Avenue
32,Sarah Street
33,Blair Avenue
34,Colwyn Drive
35,Richmond Road
36,Beaumaris Road
37,Pembroke Road
38,Edinburgh Drive
39,Pendennis Crescent
40,Heath Gardens
41,Heathlea
42,Smiths Lane
43,Alder Lane
44,Arnside Road
45,Lulworth Drive
46,Harbrook Grove
47,nan
48,Aylesbury Crescent
49,Green Lane
50,Laurel Crescent
51,Coupland Road
52,Maple Avenue
53,Cranstal Drive
54,Trent Drive
55,Harlech Avenue
56,Acreswood Avenue
57,Dalby Road
58,Grasscroft Road
59,Athol Crescent
60,Silverdale Road
61,Carnforth Avenue
62,Launceston Road
63,Willow Drive
64,Calder Avenue
65,Meadowside Road
66,The Oaklings
67,Glenmaye Grove
68,Mersey Close
69,Tregaron Grove
70,Regaby Grove
71,Radnor Close
72,Beechfield Avenue
73,Buchanan Drive
74,Ormside Close
75,Juniper Drive
76,Bleasdale Road
77,Meadow Field
78,Cambourne Drive
79,Cedar Avenue
80,Caernarvon Road
81,Palin Street
82,Stirling Road
83,Skipton Avenue
84,Dalkeith Road
85,West Street
86,Edgeworth Road
87,Hamilton Road
88,Taylor Grove
89,Ruabon Crescent
90,Westlake Grove
91,Lincroft Road
92,Halesfield
93,Harrison Street
94,Yealand Grove
95,Lime Grove
96,Botesworth Close
97,Ashdale Road
98,Longacre
99,Weymouth Drive
100,Windsor Grove
101,Coal Pit Lane
102,Pauline Street
103,Walls Street
104,Glebe Street
105,Roebuck Street
106,Bankhall Close
107,Slackey Fold
108,Poplar Grove
109,Harlea Avenue
110,Greenbank
111,Baldwin Street
112,Wood Street
113,Kirkpatrick Street
114,Bexley Street
115,Crossfield Drive
116,Withinlea Close
117,Penswick Road
118,Harvest Way
119,Ellergreen Road
120,Levengreave Close
121,Croyde Close
122,Ridgewood Close
123,Poolbank Close
124,Sykefield Close
125,Heathlea Gardens
126,Bowling Wood
127,Organ Street
128,Rannicar Street
129,Malvern Avenue
130,Hindley Road
131,Russell Street
132,Brecon Drive
133,Nixon Phillips Drive
134,Garvin Jones Grove
135,East Street
136,John Street
137,Rigley Potts Park
138,Topping Green
139,The Braes
140,Bromilow Close
141,Baxters Row
142,Hancock Close
143,Mayers Nook
144,Leigh Street
145,Bethany Mews
146,Sycamore Avenue
147,Basswood Green
148,Marsh Row
149,Chestnut Grove
